Rx_Number,Path_Power_dBm,Interaction_Description,Total_Interactions_for_Path,Interaction_Coordinates
1,-52.0943,Tx-D-T-R-T-Rx,6,"1 -6 1, -5.60166 -7.28516 0.999999, -5.49592 -7.59001 0.999999, -5.15072 -8.58518 0.999999, -5.54628 -9.72553 1, -5.58725 -9.84364 1"
1,-56.0155,Tx-D-T-R-T-R-Rx,7,"1 -6 1, -5.60166 -7.28516 0.999999, -5.48895 -7.59003 0.999999, -5.15072 -8.50487 0.999999, -5.60197 -9.72541 1, -5.61647 -9.76462 1, -5.58725 -9.84364 1"
1,-59.0695,Tx-D-T-R-T-R-Rx,7,"1 -6 1, -5.60166 -7.28516 1, -5.51176 -7.58998 1, -5.15071 -8.81406 1, -5.41963 -9.7258 1, -5.52082 -10.0689 1, -5.58725 -9.84364 1"
1,-61.1033,Tx-D-T-R-T-R-R-Rx,8,"1 -6 1, -5.60166 -7.28516 1, -5.50584 -7.58999 1, -5.15071 -8.71962 1, -5.46699 -9.7257 1, -5.57488 -10.0689 1, -5.61647 -9.93657 1, -5.58725 -9.84364 1"
1,-61.9478,Tx-D-T-T-Rx,5,"1 -6 1, -5.60166 -7.28516 1, -5.59995 -7.5898 1, -5.58792 -9.72544 1, -5.58725 -9.84364 1"
1,-62.3377,Tx-D-T-R-T-Rx,6,"1 -6 1, -5.60404 -7.52555 1.00021, -5.57936 -7.58984 1.00021, -5.15071 -8.70646 1.0001, -5.54192 -9.72554 1.00001, -5.58725 -9.84364 1"
1,-63.1218,Tx-R-D-R-T-T-Rx,7,"1 -6 1, -3.07345 -7.41959 1.00002, -3.11391 -7.40549 1.00002, -3.69165 -6.3366 1.00001, -5.15072 -9.036 1, -5.52344 -9.72557 1, -5.58725 -9.84364 1"
1,-63.6545,Tx-R-D-R-T-T-Rx,7,"1 -6 1, -3.07518 -7.41959 0.999997, -3.11275 -7.40651 0.999997, -3.69119 -6.3366 0.999996, -5.15072 -9.0362 0.999999, -5.52342 -9.72557 1, -5.58725 -9.84364 1"
1,-64.1344,Tx-R-D-R-T-T-R-Rx,8,"1 -6 1, -3.07437 -7.41959 1.00002, -3.11331 -7.40602 1.00002, -3.63961 -6.3366 1.00001, -5.15076 -9.40718 1, -5.3076 -9.72585 1, -5.47641 -10.0689 1, -5.58725 -9.84364 1"
1,-64.8827,Tx-D-T-T-Rx,5,"1 -6 1, -5.59647 -6.97688 1, -5.5945 -7.58981 1, -5.58763 -9.72544 1, -5.58725 -9.84364 1"
1,-64.9003,Tx-D-T-R-T-Rx,6,"1 -6 1, -5.59647 -6.97688 1, -5.60195 -7.5898 1, -5.60468 -7.89604 1, -5.58831 -9.72544 1, -5.58725 -9.84364 1"
1,-65.2508,Tx-R-D-T-R-T-Rx,7,"1 -6 1, -5.35076 -7.59027 1.00042, -5.60481 -7.52665 1.00038, -5.58052 -7.58984 1.00037, -5.15071 -8.70798 1.00018, -5.54185 -9.72554 1.00002, -5.58725 -9.84364 1"
1,-65.3889,Tx-D-T-T-Rx,5,"1 -6 1, -5.59647 -6.74224 1, -5.59395 -7.58981 1, -5.5876 -9.72544 1, -5.58725 -9.84364 1"
1,-65.4205,Tx-D-T-T-Rx,5,"1 -6 1, -5.60404 -7.52555 1.00022, -5.60357 -7.58979 1.00021, -5.58811 -9.72544 1.00001, -5.58725 -9.84364 1"
1,-66.5262,Tx-D-R-T-T-Rx,6,"1 -6 1, -2.44416 -7.40549 1.00014, -3.17836 -6.3366 1.0001, -5.15079 -9.2082 1.00002, -5.50618 -9.72561 1, -5.58725 -9.84364 1"
1,-67.2546,Tx-R-D-R-T-T-R-Rx,8,"1 -6 1, -2.41091 -7.41959 1.00014, -2.44356 -7.406 1.00014, -3.11234 -6.3366 1.00011, -5.15074 -9.59609 1.00002, -5.23189 -9.72586 1.00002, -5.4464 -10.0689 1.00001, -5.58725 -9.84364 1"
1,-67.6713,Tx-D-R-T-R-T-Rx,7,"1 -6 1, -5.60481 -7.52665 1, -5.61647 -7.55621 1, -5.60322 -7.58979 1, -5.15071 -8.73696 1, -5.54067 -9.72554 1, -5.58725 -9.84364 1"
1,-67.6731,Tx-R-D-R-T-T-R-Rx,8,"1 -6 1, -3.07345 -7.41959 1.00002, -3.11391 -7.40549 1.00002, -3.7053 -6.3366 1.00001, -5.15072 -8.94903 1, -5.58029 -9.72545 1, -5.61647 -9.79083 1, -5.58725 -9.84364 1"
1,-67.7261,Tx-D-T-T-Rx,5,"1 -6 1, -3.09087 -6.3366 0.999999, -5.15079 -9.23047 1, -5.50324 -9.72562 1, -5.58725 -9.84364 1"
1,-67.7465,Tx-D-T-R-T-Rx,6,"1 -6 1, -5.59647 -6.97688 0.999999, -5.40771 -7.59019 0.999999, -5.15072 -8.42523 0.999999, -5.5509 -9.72552 1, -5.58725 -9.84364 1"
1,-67.8585,Tx-R-D-R-T-T-R-R-Rx,9,"1 -6 1, -3.07437 -7.41959 1.00001, -3.11331 -7.40602 1.00001, -3.65204 -6.3366 1.00001, -5.15077 -9.31168 1, -5.35942 -9.72585 1, -5.53222 -10.0689 1, -5.61647 -9.90163 1, -5.58725 -9.84364 1"
1,-67.9049,Tx-D-T-R-T-R-Rx,7,"1 -6 1, -5.60404 -7.52555 1.00024, -5.58337 -7.58983 1.00024, -5.15071 -8.93595 1.00012, -5.4046 -9.72583 1.00005, -5.51486 -10.0689 1.00002, -5.58725 -9.84364 1"
1,-67.9675,Tx-R-D-R-T-R-T-Rx,8,"1 -6 1, -3.03649 -7.41959 1.00016, -5.60404 -6.51661 1.00026, -5.56059 -6.3366 1.00024, -5.25803 -7.59027 1.00016, -5.15071 -8.03492 1.00013, -5.55874 -9.7255 1.00001, -5.58725 -9.84364 1"
1,-68.0324,Tx-D-T-R-T-Rx,6,"1 -6 1, -5.59647 -6.74224 0.999999, -5.35522 -7.59027 0.999999, -5.15072 -8.30914 0.999999, -5.55365 -9.72551 1, -5.58725 -9.84364 1"
1,-68.0711,Tx-D-R-R-T-T-Rx,7,"1 -6 1, -5.17503 -1.96475 1, -5.57273 -2.74365 1, -3.76737 -6.27942 1, -5.15072 -8.98869 1, -5.52697 -9.72557 1, -5.58725 -9.84364 1"
1,-68.3735,Tx-R-D-R-T-T-R-Rx,8,"1 -6 1, -3.07518 -7.41959 0.999997, -3.11275 -7.40651 0.999997, -3.70484 -6.3366 0.999996, -5.15072 -8.94924 0.999999, -5.58028 -9.72545 1, -5.61647 -9.79085 1, -5.58725 -9.84364 1"
1,-68.4318,Tx-R-D-R-T-T-Rx,7,"1 -6 1, -2.41091 -7.41959 1.00014, -2.44356 -7.406 1.00014, -3.17816 -6.3366 1.00011, -5.15079 -9.20826 1.00002, -5.50618 -9.72561 1, -5.58725 -9.84364 1"
1,-68.6272,Tx-R-D-R-T-T-R-Rx,8,"1 -6 1, -3.07345 -7.41959 1.00002, -3.11391 -7.40549 1.00002, -3.63988 -6.3366 1.00002, -5.15076 -9.40705 1, -5.30763 -9.72585 1, -5.47642 -10.0689 1, -5.58725 -9.84364 1"
