Rx_Number,Path_Power_dBm,Interaction_Description,Total_Interactions_for_Path,RSS_dBm,Interaction_Coordinates
1,0.0000,Tx-Rx,0,-135.7301,"0.15000 -4.90000 1.10000, -9.85000 -7.85000 0.10000"
2,0.0000,Tx-Rx,0,-270.0000,"0.15000 -4.90000 1.10000, -9.55000 -7.85000 0.10000"
3,0.0000,Tx-Rx,0,-270.0000,"0.15000 -4.90000 1.10000, -9.25000 -7.85000 0.10000"
4,0.0000,Tx-Rx,0,-270.0000,"0.15000 -4.90000 1.10000, -8.95000 -7.85000 0.10000"
5,0.0000,Tx-Rx,0,-270.0000,"0.15000 -4.90000 1.10000, -8.65000 -7.85000 0.10000"
6,0.0000,Tx-Rx,0,-270.0000,"0.15000 -4.90000 1.10000, -8.35000 -7.85000 0.10000"
7,0.0000,Tx-Rx,0,-115.5954,"0.15000 -4.90000 1.10000, -8.05000 -7.85000 0.10000"
8,0.0000,Tx-Rx,0,-107.9350,"0.15000 -4.90000 1.10000, -7.75000 -7.85000 0.10000"
9,0.0000,Tx-Rx,0,-95.4502,"0.15000 -4.90000 1.10000, -7.45000 -7.85000 0.10000"
10,0.0000,Tx-Rx,0,-93.5524,"0.15000 -4.90000 1.10000, -7.15000 -7.85000 0.10000"
11,0.0000,Tx-Rx,0,-88.5397,"0.15000 -4.90000 1.10000, -6.85000 -7.85000 0.10000"
12,0.0000,Tx-Rx,0,-84.3510,"0.15000 -4.90000 1.10000, -6.55000 -7.85000 0.10000"
13,0.0000,Tx-Rx,0,-80.9546,"0.15000 -4.90000 1.10000, -6.25000 -7.85000 0.10000"
14,0.0000,Tx-Rx,0,-77.0822,"0.15000 -4.90000 1.10000, -5.95000 -7.85000 0.10000"
15,0.0000,Tx-Rx,0,-75.6059,"0.15000 -4.90000 1.10000, -5.65000 -7.85000 0.10000"
16,0.0000,Tx-Rx,0,-75.5798,"0.15000 -4.90000 1.10000, -5.35000 -7.85000 0.10000"
17,0.0000,Tx-Rx,0,-75.2613,"0.15000 -4.90000 1.10000, -5.05000 -7.85000 0.10000"
18,0.0000,Tx-Rx,0,-74.3930,"0.15000 -4.90000 1.10000, -4.75000 -7.85000 0.10000"
19,0.0000,Tx-Rx,0,-74.9119,"0.15000 -4.90000 1.10000, -4.45000 -7.85000 0.10000"
20,0.0000,Tx-Rx,0,-74.4445,"0.15000 -4.90000 1.10000, -4.15000 -7.85000 0.10000"
21,0.0000,Tx-Rx,0,-74.2896,"0.15000 -4.90000 1.10000, -3.85000 -7.85000 0.10000"
22,0.0000,Tx-Rx,0,-74.6655,"0.15000 -4.90000 1.10000, -3.55000 -7.85000 0.10000"
23,0.0000,Tx-Rx,0,-74.6236,"0.15000 -4.90000 1.10000, -3.25000 -7.85000 0.10000"
24,0.0000,Tx-Rx,0,-74.4662,"0.15000 -4.90000 1.10000, -2.95000 -7.85000 0.10000"
25,0.0000,Tx-Rx,0,-74.1480,"0.15000 -4.90000 1.10000, -2.65000 -7.85000 0.10000"
26,0.0000,Tx-Rx,0,-74.7407,"0.15000 -4.90000 1.10000, -2.35000 -7.85000 0.10000"
27,0.0000,Tx-Rx,0,-81.1551,"0.15000 -4.90000 1.10000, -2.05000 -7.85000 0.10000"
28,0.0000,Tx-Rx,0,-82.5589,"0.15000 -4.90000 1.10000, -1.75000 -7.85000 0.10000"
29,0.0000,Tx-Rx,0,-84.1158,"0.15000 -4.90000 1.10000, -1.45000 -7.85000 0.10000"
